console,console_common_name,game_title,category_1,category_2,multiplayer,core_name,console_dir,game_file,m3u,category_1_mgl,category_2_mgl,multiplayer_mgl,top_console_mgl,console_mgl,hash,download_url
SNES,SNES,Uncharted Waters: New Horizons,Adventure RPG,Strategy,False,SNES,SNES,Uncharted Waters (USA).sfc,,_Waian's Picks/_Top Games by Category/_Adventure RPG/Uncharted Waters New Horizons (SNES).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Uncharted Waters New Horizons (SNES).mgl,,_Waian's Picks/_Top Games by Console/_SNES/Uncharted Waters New Horizons.mgl,_Waian's Picks/_All Games by Console/_SNES/Uncharted Waters New Horizons.mgl,08aa3634b5cf3b912b1afc74d6ef6183e8c65299,
PSX,PlayStation,Ogre Battle - Limited Edition,JRPG,Strategy,False,PSX,PSX,Ogre Battle - Limited Edition (USA)/Ogre Battle - Limited Edition (USA).chd,Ogre Battle - Limited Edition (USA)/Ogre Battle - Limited Edition (USA).m3u,_Waian's Picks/_Top Games by Category/_JRPG/Ogre Battle - Limited Edition (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Ogre Battle - Limited Edition (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Ogre Battle - Limited Edition.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Ogre Battle - Limited Edition.mgl,9a03a6f1aa9469f63e583f0bf197cf8bee31f586,
PSX,PlayStation,Tactics Ogre,JRPG,Strategy,False,PSX,PSX,Tactics Ogre (USA)/Tactics Ogre (USA).chd,Tactics Ogre (USA)/Tactics Ogre (USA).m3u,_Waian's Picks/_Top Games by Category/_JRPG/Tactics Ogre (PlayStation).mgl,_Waian's Picks/_Top Games by Category/_Strategy/Tactics Ogre (PlayStation).mgl,,_Waian's Picks/_Top Games by Console/_PlayStation/Tactics Ogre.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Tactics Ogre.mgl,b52cca5cb4433026c1f877a208a3533a9312dbfb,
PSX,PlayStation,Gran Turismo 2,Racing,,False,PSX,PSX,Gran Turismo 2 (USA) (Simulation Mode) (Rev 2)/Gran Turismo 2 (USA) (Simulation Mode) (Rev 2).chd,Gran Turismo 2 (USA) (Simulation Mode) (Rev 2)/Gran Turismo 2 (USA) (Simulation Mode) (Rev 2).m3u,_Waian's Picks/_Top Games by Category/_Racing/Gran Turismo 2 (PlayStation).mgl,,,_Waian's Picks/_Top Games by Console/_PlayStation/Gran Turismo 2.mgl,_Waian's Picks/_All Games by Console/_PlayStation/Gran Turismo 2.mgl,cf9e960fb0e7edfedfaf8e6f104c6c618f2e1886,
SNES,SNES,Might and Magic III - Isles of Terra,,,,SNES,SNES,Might and Magic III - Isles of Terra (USA).sfc,,,,,_Waian's Picks/_Top Games by Console/_SNES/Might and Magic III - Isles of Terra.mgl,_Waian's Picks/_All Games by Console/_SNES/Might and Magic III - Isles of Terra.mgl,f09addfc729c6c3a000ce5abed4b13ea3bbfdd6b,
GBC,Game Boy Color,Heroes of Might and Magic II,,,,Gameboy,GBC,"Heroes of Might and Magic II (USA) (En,Fr,De).gbc",,,,,_Waian's Picks/_Top Games by Console/_Game Boy Color/Heroes of Might and Magic II.mgl,_Waian's Picks/_All Games by Console/_Game Boy Color/Heroes of Might and Magic II.mgl,1d6ae18073c8b789c288039b0f579ebf15d1f03c,
GBC,Game Boy Color,Heroes of Might and Magic,,,,Gameboy,GBC,"Heroes of Might and Magic (USA) (En,Fr,De).gbc",,,,,_Waian's Picks/_Top Games by Console/_Game Boy Color/Heroes of Might and Magic.mgl,_Waian's Picks/_All Games by Console/_Game Boy Color/Heroes of Might and Magic.mgl,209d8a9cdd240a8c73d03d8575373bfa53948869,
Saturn,Saturn,Panzer Dragoon Saga,JRPG,,False,Saturn,Saturn,Panzer Dragoon Saga (USA)/Panzer Dragoon Saga (USA) (Disc 1).chd,Panzer Dragoon Saga (USA)/Panzer Dragoon Saga (USA).m3u,_Waian's Picks/_Top Games by Category/_JRPG/Panzer Dragoon Saga (Saturn).mgl,,,_Waian's Picks/_Top Games by Console/_Saturn/Panzer Dragoon Saga.mgl,_Waian's Picks/_All Games by Console/_Saturn/Panzer Dragoon Saga.mgl,e99425d2013380529c80e5945ee64836498c0073,
MegaDrive,Genesis,Sonic 3 & Knuckles,2D Platformer,,False,MegaDrive,MegaDrive,Sonic & Knuckles + Sonic The Hedgehog 3 (USA) (Lock-on Combination).md,,_Waian's Picks/_Top Games by Category/_2D Platformer/Sonic 3 & Knuckles (Genesis).mgl,,,_Waian's Picks/_Top Games by Console/_Genesis/Sonic 3 & Knuckles.mgl,_Waian's Picks/_All Games by Console/_Genesis/Sonic 3 & Knuckles.mgl,cfbf98c36c776677290a872547ac47c53d2761d6,
MegaDrive,Genesis,Advanced Busterhawk Gley Lancer,Arcade Shooters,,False,MegaDrive,MegaDrive,"Advanced Busterhawk Gley Lancer (World) (En,Ja) (Retro-Bit).md",,_Waian's Picks/_Top Games by Category/_Arcade Shooters/Advanced Busterhawk Gley Lancer (Genesis).mgl,,,_Waian's Picks/_Top Games by Console/_Genesis/Advanced Busterhawk Gley Lancer.mgl,_Waian's Picks/_All Games by Console/_Genesis/Advanced Busterhawk Gley Lancer.mgl,311cce17f223626a2c56915dc6742d7acdc4d16a,
